Date,current_price,portfolio_pnl,portfolio_value,position,postion_pnl,capital,holding,action
2014-12-04,25910.79,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-05,23732.8,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-08,21479.69,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-09,19376.82,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-10,17574.26,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-11,16147.3,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-12,17348.98,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-15,17499.22,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-16,15922.03,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-17,14945.63,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-18,15997.15,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-19,15246.11,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-22,15321.15,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2014-12-23,16823.22,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2014-12-24,17123.71,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2014-12-25,16748.19,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2014-12-26,15546.51,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2014-12-29,14495.08,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2014-12-30,14945.63,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2014-12-31,15396.27,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-01,15396.27,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-01-02,15396.27,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-05,15321.15,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-01-06,16823.22,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-07,18100.02,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-08,18325.3,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-09,18775.94,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-01-12,17273.86,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-01-13,17949.78,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-14,18325.3,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-01-15,20127.86,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-01-16,19602.1,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-01-19,19677.22,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-01-20,19226.58,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-21,19226.58,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-01-22,19151.46,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-01-23,19902.49,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-26,20052.74,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-01-27,19526.97,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-28,19526.97,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-29,20728.65,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-01-30,20878.89,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-02-02,20803.77,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-02-03,20428.25,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-02-04,19451.85,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-02-05,18700.82,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-02-06,18775.94,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-02-09,17724.5,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-02-10,16973.46,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-02-11,17724.5,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-02-12,17499.22,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-02-13,17048.58,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-02-18,17048.58,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-02-19,17048.58,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-02-20,17048.58,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-02-23,17048.58,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-02-24,17048.58,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-02-25,15696.67,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-02-26,15020.75,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-02-27,15095.87,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-03-02,14945.63,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-03-03,14795.47,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-04,12241.96,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-03-05,12542.36,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-03-06,11941.48,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-09,11565.96,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-03-10,11866.44,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-11,11565.96,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-12,11791.32,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-03-13,11791.32,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-16,11565.96,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-03-17,11866.44,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-03-18,11716.2,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-03-19,11565.96,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-20,11565.96,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-23,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-24,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-03-25,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-03-26,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-03-27,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-03-30,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-03-31,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-04-01,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-04-02,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-04-03,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-06,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-04-07,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-08,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-04-09,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-10,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-04-13,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-04-14,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-04-15,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-16,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-17,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-20,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-21,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-04-22,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-23,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-24,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-04-27,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-04-28,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-04-29,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-04-30,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-05-01,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-05-04,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-05-05,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-05-06,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-05-07,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-05-08,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-05-11,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-05-12,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-05-13,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-05-14,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-05-15,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,1.0
2015-05-18,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-05-19,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-05-20,11490.93,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
2015-05-21,7285.07,0.0,10000.0,0.0,0.0,10000.0,0.0,2.0
2015-05-22,7961.01,0.0,10000.0,7961.01,0.0,2038.99,1.0,0.0
2015-05-25,8712.05,751.04,10751.04,0.0,0.0,10751.04,0.0,1.0
2015-05-26,8186.32,751.04,10751.04,0.0,0.0,10751.04,0.0,2.0
2015-05-27,8787.17,751.04,10751.04,0.0,0.0,10751.04,0.0,2.0
2015-05-28,9162.69,751.04,10751.04,0.0,0.0,10751.04,0.0,2.0
2015-05-29,8636.94,751.04,10751.04,0.0,0.0,10751.04,0.0,1.0
2015-06-01,8712.05,751.04,10751.04,8712.05,0.0,2038.99,1.0,0.0
2015-06-02,8787.17,826.16,10751.04,8712.05,75.12,2038.99,1.0,2.0
2015-06-03,9012.45,1051.44,11051.44,0.0,0.0,11051.44,0.0,1.0
2015-06-04,9913.73,1051.44,11051.44,9913.73,0.0,1137.71,1.0,0.0
2015-06-05,10514.52,1652.23,11652.23,0.0,0.0,11652.23,0.0,1.0
2015-06-08,10364.37,1652.23,11652.23,0.0,0.0,11652.23,0.0,1.0
2015-06-09,9838.61,1652.23,11652.23,9838.61,0.0,1813.62,1.0,0.0
2015-06-10,9688.37,1501.99,11652.23,9838.61,-150.24,1813.62,1.0,0.0
2015-06-11,9538.21,1351.83,11652.23,9838.61,-300.4,1813.62,1.0,0.0
2015-06-12,9838.61,1652.23,11652.23,0.0,0.0,11652.23,0.0,1.0
2015-06-15,9688.37,1652.23,11652.23,0.0,0.0,11652.23,0.0,1.0
2015-06-16,8937.33,1652.23,11652.23,0.0,0.0,11652.23,0.0,2.0
2015-06-17,8486.73,1652.23,11652.23,8486.73,0.0,3165.5,1.0,0.0
2015-06-18,8787.17,1952.67,11952.67,0.0,0.0,11952.67,0.0,1.0
2015-06-19,8486.73,1952.67,11952.67,0.0,0.0,11952.67,0.0,1.0
2015-06-22,8636.94,1952.67,11952.67,0.0,0.0,11952.67,0.0,2.0
2015-06-23,8561.84,1952.67,11952.67,0.0,0.0,11952.67,0.0,1.0
2015-06-24,8261.42,1952.67,11952.67,0.0,0.0,11952.67,0.0,2.0
2015-06-25,7885.9,1952.67,11952.67,7885.9,0.0,4066.77,1.0,0.0
2015-06-26,8636.94,2703.71,12703.71,0.0,0.0,12703.71,0.0,1.0
2015-06-29,9012.45,2703.71,12703.71,0.0,0.0,12703.71,0.0,2.0
2015-06-30,8411.63,2703.71,12703.71,0.0,0.0,12703.71,0.0,2.0
2015-07-01,8486.73,2703.71,12703.71,0.0,0.0,12703.71,0.0,2.0
2015-07-02,8787.17,2703.71,12703.71,0.0,0.0,12703.71,0.0,1.0
2015-07-03,8712.05,2703.71,12703.71,0.0,0.0,12703.71,0.0,2.0
2015-07-06,8937.33,2703.71,12703.71,8937.33,0.0,3766.38,1.0,0.0
2015-07-07,8712.05,2478.43,12703.71,8937.33,-225.28,3766.38,1.0,2.0
2015-07-08,8411.63,2178.01,12178.01,0.0,0.0,12178.01,0.0,1.0
2015-07-09,8411.63,2178.01,12178.01,0.0,0.0,12178.01,0.0,1.0
2015-07-10,8186.32,2178.01,12178.01,8186.32,0.0,3991.69,1.0,0.0
2015-07-13,7810.8,1802.49,12178.01,8186.32,-375.52,3991.69,1.0,2.0
2015-07-14,8036.11,2027.8,12027.8,0.0,0.0,12027.8,0.0,1.0
2015-07-15,7660.59,2027.8,12027.8,0.0,0.0,12027.8,0.0,1.0
2015-07-16,7435.28,2027.8,12027.8,7435.28,0.0,4592.52,1.0,0.0
2015-07-17,7435.28,2027.8,12027.8,0.0,0.0,12027.8,0.0,1.0
2015-07-20,7285.07,2027.8,12027.8,7285.07,0.0,4742.73,1.0,0.0
2015-07-21,6984.66,1727.39,12027.8,7285.07,-300.41,4742.73,1.0,2.0
2015-07-22,7209.97,1952.7,11952.7,0.0,0.0,11952.7,0.0,1.0
2015-07-23,7059.76,1952.7,11952.7,0.0,0.0,11952.7,0.0,2.0
2015-07-24,7209.97,1952.7,11952.7,7209.97,0.0,4742.73,1.0,0.0
2015-07-27,6984.66,1727.39,11952.7,7209.97,-225.31,4742.73,1.0,0.0
2015-07-28,7059.76,1802.49,11952.7,7209.97,-150.21,4742.73,1.0,0.0
2015-07-29,7209.97,1952.7,11952.7,0.0,0.0,11952.7,0.0,1.0
2015-07-30,7810.8,1952.7,11952.7,7810.8,0.0,4141.9,1.0,0.0
2015-07-31,7435.28,1577.18,11952.7,7810.8,-375.52,4141.9,1.0,2.0
2015-08-03,7059.76,1201.66,11201.66,0.0,0.0,11201.66,0.0,1.0
2015-08-04,7134.86,1201.66,11201.66,0.0,0.0,11201.66,0.0,1.0
2015-08-05,7360.18,1201.66,11201.66,0.0,0.0,11201.66,0.0,2.0
2015-08-06,7209.97,1201.66,11201.66,0.0,0.0,11201.66,0.0,1.0
2015-08-07,7209.97,1201.66,11201.66,7209.97,0.0,3991.69,1.0,0.0
2015-08-10,7134.86,1126.55,11201.66,7209.97,-75.11,3991.69,1.0,0.0
2015-08-11,7285.07,1276.76,11201.66,7209.97,75.1,3991.69,1.0,2.0
2015-08-12,7134.86,1126.55,11201.66,7209.97,-75.11,3991.69,1.0,2.0
2015-08-13,6984.66,976.35,10976.35,0.0,0.0,10976.35,0.0,1.0
2015-08-14,6984.66,976.35,10976.35,0.0,0.0,10976.35,0.0,1.0
2015-08-17,6834.45,976.35,10976.35,0.0,0.0,10976.35,0.0,2.0
2015-08-18,6984.66,976.35,10976.35,0.0,0.0,10976.35,0.0,2.0
2015-08-19,6909.55,976.35,10976.35,0.0,0.0,10976.35,0.0,2.0
2015-08-20,6609.14,976.35,10976.35,0.0,0.0,10976.35,0.0,1.0
2015-08-21,6233.62,976.35,10976.35,0.0,0.0,10976.35,0.0,1.0
2015-08-24,5632.79,976.35,10976.35,5632.79,0.0,5343.56,1.0,0.0
2015-08-25,5257.27,600.83,10976.35,5632.79,-375.52,5343.56,1.0,2.0
2015-08-26,5783.0,1126.56,10976.35,5632.79,150.21,5343.56,1.0,2.0
2015-08-27,6308.72,1652.28,11652.28,0.0,0.0,11652.28,0.0,1.0
2015-08-28,6308.72,1652.28,11652.28,0.0,0.0,11652.28,0.0,1.0
2015-08-31,6083.41,1652.28,11652.28,0.0,0.0,11652.28,0.0,1.0
2015-09-01,6008.31,1652.28,11652.28,0.0,0.0,11652.28,0.0,1.0
2015-09-02,6008.31,1652.28,11652.28,0.0,0.0,11652.28,0.0,2.0
2015-09-03,6083.41,1652.28,11652.28,0.0,0.0,11652.28,0.0,1.0
2015-09-04,6008.31,1652.28,11652.28,6008.31,0.0,5643.97,1.0,0.0
2015-09-07,5858.1,1502.07,11652.28,6008.31,-150.21,5643.97,1.0,2.0
2015-09-08,6158.52,1802.49,11802.49,0.0,0.0,11802.49,0.0,1.0
2015-09-09,6083.41,1802.49,11802.49,6083.41,0.0,5719.08,1.0,0.0
2015-09-10,6308.72,2027.8,12027.8,0.0,0.0,12027.8,0.0,1.0
2015-09-11,6458.93,2027.8,12027.8,0.0,0.0,12027.8,0.0,2.0
2015-09-14,6158.52,2027.8,12027.8,0.0,0.0,12027.8,0.0,1.0
2015-09-15,6308.72,2027.8,12027.8,6308.72,0.0,5719.08,1.0,0.0
2015-09-16,5735.2,1454.28,12027.8,6308.72,-573.52,5719.08,1.0,2.0
2015-09-17,5666.93,1386.01,12027.8,6308.72,-641.79,5719.08,1.0,2.0
2015-09-18,5735.2,1454.28,12027.8,6308.72,-573.52,5719.08,1.0,2.0
2015-09-21,5871.76,1590.84,12027.8,6308.72,-436.96,5719.08,1.0,2.0
2015-09-22,6774.36,2493.44,12027.8,6308.72,465.64,5719.08,1.0,0.0
2015-09-23,6939.59,2658.67,12658.67,0.0,0.0,12658.67,0.0,1.0
2015-09-24,7104.82,2658.67,12658.67,0.0,0.0,12658.67,0.0,2.0
2015-09-25,6939.59,2658.67,12658.67,6939.59,0.0,5719.08,1.0,0.0
2015-09-28,6609.14,2328.22,12658.67,6939.59,-330.45,5719.08,1.0,2.0
2015-09-29,6774.36,2493.44,12658.67,6939.59,-165.23,5719.08,1.0,2.0
2015-09-30,6691.75,2410.83,12658.67,6939.59,-247.84,5719.08,1.0,0.0
2015-10-01,6774.36,2493.44,12493.44,0.0,0.0,12493.44,0.0,1.0
2015-10-02,6691.75,2493.44,12493.44,0.0,0.0,12493.44,0.0,2.0
2015-10-05,6691.75,2493.44,12493.44,6691.75,0.0,5801.69,1.0,0.0
2015-10-06,7022.21,2823.9,12493.44,6691.75,330.46,5801.69,1.0,2.0
2015-10-07,6774.36,2576.05,12493.44,6691.75,82.61,5801.69,1.0,0.0
2015-10-08,6939.59,2741.28,12741.28,0.0,0.0,12741.28,0.0,1.0
2015-10-09,6856.98,2741.28,12741.28,0.0,0.0,12741.28,0.0,1.0
2015-10-12,6856.98,2741.28,12741.28,6856.98,0.0,5884.3,1.0,0.0
2015-10-13,6774.36,2658.66,12658.66,0.0,0.0,12658.66,0.0,1.0
2015-10-14,6691.75,2658.66,12658.66,6691.75,0.0,5966.91,1.0,0.0
2015-10-15,6691.75,2658.66,12658.66,6691.75,0.0,5966.91,1.0,0.0
2015-10-16,6691.75,2658.66,12658.66,0.0,0.0,12658.66,0.0,1.0
2015-10-19,6691.75,2658.66,12658.66,0.0,0.0,12658.66,0.0,2.0
2015-10-20,6609.14,2658.66,12658.66,6609.14,0.0,6049.52,1.0,0.0
2015-10-21,6361.29,2410.81,12658.66,6609.14,-247.85,6049.52,1.0,0.0
2015-10-22,6526.52,2576.04,12658.66,6609.14,-82.62,6049.52,1.0,0.0
2015-10-23,6526.52,2576.04,12658.66,6609.14,-82.62,6049.52,1.0,0.0
2015-10-26,6278.68,2328.2,12658.66,6609.14,-330.46,6049.52,1.0,0.0
2015-10-27,6278.68,2328.2,12658.66,6609.14,-330.46,6049.52,1.0,0.0
2015-10-28,6113.45,2162.97,12658.66,6609.14,-495.69,6049.52,1.0,0.0
2015-10-29,6361.29,2410.81,12410.81,0.0,0.0,12410.81,0.0,1.0
2015-10-30,6196.07,2410.81,12410.81,0.0,0.0,12410.81,0.0,2.0
2015-11-02,6196.07,2410.81,12410.81,0.0,0.0,12410.81,0.0,2.0
2015-11-03,6196.07,2410.81,12410.81,12392.14,0.0,18.67,2.0,0.0
2015-11-04,6196.07,2410.81,12410.81,12392.14,0.0,18.67,2.0,0.0
2015-11-05,6278.68,2576.03,12410.81,12392.14,165.22,18.67,2.0,2.0
2015-11-06,6030.84,2080.35,12080.35,0.0,0.0,12080.35,0.0,1.0
2015-11-09,6030.84,2080.35,12080.35,12061.68,0.0,18.67,2.0,0.0
2015-11-10,5948.22,1915.11,12080.35,12061.68,-165.24,18.67,2.0,0.0
2015-11-11,5783.0,1584.67,12080.35,12061.68,-495.68,18.67,2.0,0.0
2015-11-12,5783.0,1584.67,11584.67,0.0,0.0,11584.67,0.0,1.0
2015-11-13,5700.38,1584.67,11584.67,0.0,0.0,11584.67,0.0,2.0
2015-11-16,6196.07,1584.67,11584.67,0.0,0.0,11584.67,0.0,2.0
2015-11-17,6113.45,1584.67,11584.67,0.0,0.0,11584.67,0.0,2.0
2015-11-18,6113.45,1584.67,11584.67,0.0,0.0,11584.67,0.0,1.0
2015-11-19,6278.68,1584.67,11584.67,0.0,0.0,11584.67,0.0,1.0
2015-11-20,6278.68,1584.67,11584.67,0.0,0.0,11584.67,0.0,1.0
2015-11-23,6526.52,1584.67,11584.67,6526.52,0.0,5058.15,1.0,0.0
2015-11-24,6443.91,1502.06,11502.06,0.0,0.0,11502.06,0.0,1.0
2015-11-25,6774.36,1502.06,11502.06,6774.36,0.0,4727.7,1.0,0.0
2015-11-26,6856.98,1584.68,11502.06,6774.36,82.62,4727.7,1.0,2.0
2015-11-27,6443.91,1171.61,11502.06,6774.36,-330.45,4727.7,1.0,2.0
2015-11-30,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,0.0
2015-12-01,6113.45,841.15,11502.06,6774.36,-660.91,4727.7,1.0,2.0
2015-12-02,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,0.0
2015-12-03,6278.68,1006.38,11502.06,6774.36,-495.68,4727.7,1.0,2.0
2015-12-04,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,0.0
2015-12-07,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,2.0
2015-12-08,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,2.0
2015-12-09,6113.45,841.15,11502.06,6774.36,-660.91,4727.7,1.0,2.0
2015-12-10,5865.6,593.3,11502.06,6774.36,-908.76,4727.7,1.0,2.0
2015-12-11,5948.22,675.92,11502.06,6774.36,-826.14,4727.7,1.0,0.0
2015-12-14,5865.6,593.3,11502.06,6774.36,-908.76,4727.7,1.0,0.0
2015-12-15,6113.45,841.15,10841.15,0.0,0.0,10841.15,0.0,1.0
2015-12-16,6030.84,841.15,10841.15,6030.84,0.0,4810.31,1.0,0.0
2015-12-17,6030.84,841.15,10841.15,0.0,0.0,10841.15,0.0,1.0
2015-12-18,5948.22,841.15,10841.15,0.0,0.0,10841.15,0.0,1.0
2015-12-21,5865.6,841.15,10841.15,5865.6,0.0,4975.55,1.0,0.0
2015-12-22,5865.6,841.15,10841.15,5865.6,0.0,4975.55,1.0,0.0
